,Bike_number,StartLatitude,StartLongitude,EndLatitude,EndLogitude,OriginZip,DestinationZip,Duration,Duration per minute
616,W20914,38.8952,-77.0436,38.8952,-77.0436,20006,20006,4922.0,82.03333333333333
617,W23380,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1437.0,23.95
618,W23122,38.9319,-77.0388,38.9319,-77.0388,20036,20036,868.0,14.466666666666667
619,W00013,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4474.0,74.56666666666666
620,W20171,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1314.0,21.9
621,W01094,38.8637,-77.0633,38.8637,-77.0633,20037,22204,875.0,14.583333333333334
622,W21518,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1304.0,21.733333333333334
623,W22411,38.9057,-77.0056,38.9057,-77.0056,20002,20002,369.0,6.15
624,W22551,38.8952,-77.0436,38.8952,-77.0436,20036,20036,312.0,5.2
625,W23134,38.8767,-77.0178,38.8767,-77.0178,20024,20024,888.0,14.8
626,W00712,38.9057,-77.0056,38.9057,-77.0056,20002,20002,768.0,12.8
627,W23017,38.9003,-77.0429,38.9003,-77.0429,20006,20006,892.0,14.866666666666667
628,W20561,38.9057,-77.0056,38.9057,-77.0056,20002,20002,140.0,2.3333333333333335
629,W22546,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1841.0,30.683333333333334
630,W22704,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1346.0,22.433333333333334
631,W22541,38.8952,-77.0436,38.8952,-77.0436,20036,20036,3595.0,59.916666666666664
632,W23295,38.9319,-77.0388,38.9319,-77.0388,20036,20036,581.0,9.683333333333334
633,W22695,38.9086,-77.0323,38.9086,-77.0323,20006,20005,6460.0,107.66666666666667
634,W23357,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2179.0,36.31666666666667
635,W22960,38.8767,-77.0178,38.8767,-77.0178,20024,20024,775.0,12.916666666666666
636,W23095,38.8952,-77.0436,38.8952,-77.0436,20036,20036,134.0,2.2333333333333334
637,W21672,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3535.0,58.916666666666664
638,W01464,38.8767,-77.0178,38.8767,-77.0178,20024,20024,221.0,3.683333333333333
639,W22891,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1370.0,22.833333333333332
640,W22992,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1407.0,23.45
641,W01171,38.9057,-77.0056,38.9057,-77.0056,20002,20002,313.0,5.216666666666667
642,W22898,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1797.0,29.95
643,W21388,38.9057,-77.0056,38.9057,-77.0056,20002,20002,62.0,1.0333333333333334
644,W22516,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1260.0,21.0
645,W00375,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3324.0,55.4
646,W00554,38.9003,-77.0429,38.9003,-77.0429,20006,20006,1016.0,16.933333333333334
647,W20119,38.9319,-77.0388,38.9319,-77.0388,20036,20036,378.0,6.3
648,W00414,38.8637,-77.0633,38.8637,-77.0633,20037,22204,3390.0,56.5
649,W00649,38.9176,-77.0321,38.9176,-77.0321,20010,20010,2020.0,33.666666666666664
650,W21057,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1780.0,29.666666666666668
651,W23218,38.9375,-77.0328,38.9375,-77.0328,20010,20010,3943.0,65.71666666666667
652,W00857,38.8767,-77.0178,38.8767,-77.0178,20024,20024,217.0,3.6166666666666667
653,W21758,38.9086,-77.0323,38.9086,-77.0323,20005,20005,801.0,13.35
654,W23157,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1022.0,17.033333333333335
655,W00625,38.8952,-77.0436,38.8952,-77.0436,20036,20036,617.0,10.283333333333333
656,W20125,38.9086,-77.0323,38.9086,-77.0323,20006,20005,2745.0,45.75
657,W22434,38.9086,-77.0323,38.9086,-77.0323,20005,20005,603.0,10.05
658,W21414,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2180.0,36.333333333333336
659,W00280,38.8767,-77.0178,38.8767,-77.0178,20024,20024,380.0,6.333333333333333
660,W00342,38.9375,-77.0328,38.9375,-77.0328,20010,20010,2396.0,39.93333333333333
661,W22312,38.9086,-77.0323,38.9086,-77.0323,20006,20005,781.0,13.016666666666667
662,W00015,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1387.0,23.116666666666667
663,W22771,38.9086,-77.0323,38.9086,-77.0323,20006,20005,8708.0,145.13333333333333
664,W22947,38.9086,-77.0323,38.9086,-77.0323,20005,20005,6932.0,115.53333333333333
665,W01182,38.9319,-77.0388,38.9319,-77.0388,20036,20036,117.0,1.95
666,W00891,38.9086,-77.0323,38.9086,-77.0323,20006,20005,3958.0,65.96666666666667
667,W22012,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1782.0,29.7
668,W21682,38.9086,-77.0323,38.9086,-77.0323,20005,20005,99.0,1.65
669,W20297,38.8767,-77.0178,38.8767,-77.0178,20024,20024,80.0,1.3333333333333333
670,W20565,38.9176,-77.0321,38.9176,-77.0321,20010,20010,337.0,5.616666666666666
671,W20009,38.9057,-77.0056,38.9057,-77.0056,20002,20002,776.0,12.933333333333334
672,W21450,38.9086,-77.0323,38.9086,-77.0323,20005,20005,5578.0,92.96666666666667
673,W23305,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3925.0,65.41666666666667
674,W00651,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1030.0,17.166666666666668
675,W00573,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1849.0,30.816666666666666
676,W20524,38.8637,-77.0633,38.8637,-77.0633,20037,22204,406.0,6.766666666666667
677,W00256,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1973.0,32.88333333333333
678,W01408,38.9319,-77.0388,38.9319,-77.0388,20036,20036,11579.0,192.98333333333332
679,W22278,38.8767,-77.0178,38.8767,-77.0178,20024,20024,9918.0,165.3
680,W22773,38.9086,-77.0323,38.9086,-77.0323,20005,20005,10204.0,170.06666666666666
681,W20200,38.9375,-77.0328,38.9375,-77.0328,20010,20010,324.0,5.4
682,W23325,38.9003,-77.0429,38.9003,-77.0429,20006,20006,1849.0,30.816666666666666
683,W22661,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1794.0,29.9
684,W00301,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1745.0,29.083333333333332
685,W21573,38.8637,-77.0633,38.8637,-77.0633,20037,22204,2116.0,35.266666666666666
686,W21374,38.9375,-77.0328,38.9375,-77.0328,20010,20010,676.0,11.266666666666667
687,W21113,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1681.0,28.016666666666666
688,W00520,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2247.0,37.45
689,W22293,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2059.0,34.31666666666667
690,W00083,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1107.0,18.45
691,W20792,38.8767,-77.0178,38.8767,-77.0178,20024,20024,639.0,10.65
692,W20318,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1824.0,30.4
693,W20223,38.9086,-77.0323,38.9086,-77.0323,20006,20005,10096.0,168.26666666666668
694,W21638,38.9086,-77.0323,38.9086,-77.0323,20006,20005,215.0,3.5833333333333335
695,W23278,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1156.0,19.266666666666666
696,W00567,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1352.0,22.533333333333335
697,W20369,38.8637,-77.0633,38.8637,-77.0633,20037,22204,68.0,1.1333333333333333
698,W22048,38.9003,-77.0429,38.9003,-77.0429,20006,20006,811.0,13.516666666666667
699,W01023,38.9086,-77.0323,38.9086,-77.0323,20006,20005,4499.0,74.98333333333333
700,W00232,38.9375,-77.0328,38.9375,-77.0328,20010,20010,3511.0,58.516666666666666
701,W20863,38.9086,-77.0323,38.9086,-77.0323,20006,20005,7311.0,121.85
702,W22534,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3208.0,53.46666666666667
703,W00112,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1964.0,32.733333333333334
704,W22464,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1599.0,26.65
705,W21069,38.8637,-77.0633,38.8637,-77.0633,20037,22204,5690.0,94.83333333333333
706,W22540,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2564.0,42.733333333333334
707,W00446,38.9086,-77.0323,38.9086,-77.0323,20006,20005,10896.0,181.6
708,W21802,38.9057,-77.0056,38.9057,-77.0056,20002,20002,98.0,1.6333333333333333
709,W22600,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1386.0,23.1
710,W21866,38.9176,-77.0321,38.9176,-77.0321,20010,20010,348.0,5.8
711,W01090,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3247.0,54.11666666666667
712,W20480,38.9086,-77.0323,38.9086,-77.0323,20006,20005,3097.0,51.61666666666667
713,W01367,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2183.0,36.38333333333333
714,W22520,38.9086,-77.0323,38.9086,-77.0323,20005,20005,61.0,1.0166666666666666
715,W20637,38.8952,-77.0436,38.8952,-77.0436,20036,20036,1671.0,27.85
716,W00312,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4159.0,69.31666666666666
717,W23387,38.9057,-77.0056,38.9057,-77.0056,20002,20002,974.0,16.233333333333334
718,W22551,38.8952,-77.0436,38.8952,-77.0436,20006,20006,312.0,5.2
719,W21236,38.9086,-77.0323,38.9086,-77.0323,20005,20005,365.0,6.083333333333333
720,W00312,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1556.0,25.933333333333334
721,W22541,38.8952,-77.0436,38.8952,-77.0436,20006,20006,3595.0,59.916666666666664
722,W20527,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1419.0,23.65
723,W20643,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1126.0,18.766666666666666
724,W21324,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1895.0,31.583333333333332
725,W22737,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2115.0,35.25
726,W20691,38.9375,-77.0328,38.9375,-77.0328,20010,20010,2456.0,40.93333333333333
727,W00112,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1964.0,32.733333333333334
728,W20158,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1429.0,23.816666666666666
729,W23144,38.9176,-77.0321,38.9176,-77.0321,20010,20010,2670.0,44.5
730,W22863,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1808.0,30.133333333333333
731,W20013,38.9319,-77.0388,38.9319,-77.0388,20036,20036,741.0,12.35
732,W01356,38.8767,-77.0178,38.8767,-77.0178,20024,20024,94.0,1.5666666666666667
733,W20648,38.9176,-77.0321,38.9176,-77.0321,20010,20010,5798.0,96.63333333333334
734,W21353,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1755.0,29.25
735,W20026,38.9086,-77.0323,38.9086,-77.0323,20006,20005,774.0,12.9
736,W00881,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1466.0,24.433333333333334
737,W00750,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1448.0,24.133333333333333
738,W01229,38.8637,-77.0633,38.8637,-77.0633,20037,22204,8139.0,135.65
739,W01362,38.8767,-77.0178,38.8767,-77.0178,20024,20024,12832.0,213.86666666666667
740,W01177,38.8767,-77.0178,38.8767,-77.0178,20024,20024,81.0,1.35
741,W23220,38.8767,-77.0178,38.8767,-77.0178,20024,20024,564.0,9.4
742,W01348,38.9086,-77.0323,38.9086,-77.0323,20006,20005,8155.0,135.91666666666666
743,W23029,38.9086,-77.0323,38.9086,-77.0323,20006,20005,2624.0,43.733333333333334
744,W21085,38.9086,-77.0323,38.9086,-77.0323,20006,20005,449.0,7.483333333333333
745,W21269,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1483.0,24.716666666666665
746,W20591,38.9086,-77.0323,38.9086,-77.0323,20005,20005,857.0,14.283333333333333
747,W00803,38.9249,-77.0222,38.9249,-77.0222,20059,20059,5837.0,97.28333333333333
748,W01171,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1392.0,23.2
749,W20404,38.9057,-77.0056,38.9057,-77.0056,20002,20002,5578.0,92.96666666666667
750,W22424,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1338.0,22.3
751,W23058,38.9086,-77.0323,38.9086,-77.0323,20005,20005,518.0,8.633333333333333
752,W20126,38.9057,-77.0056,38.9057,-77.0056,20002,20002,141.0,2.35
753,W21463,38.9086,-77.0323,38.9086,-77.0323,20005,20005,3839.0,63.983333333333334
754,W21496,38.8952,-77.0436,38.8952,-77.0436,20006,20006,6529.0,108.81666666666666
755,W21378,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1397.0,23.283333333333335
756,W20934,38.9086,-77.0323,38.9086,-77.0323,20005,20005,5519.0,91.98333333333333
757,W00676,38.9319,-77.0388,38.9319,-77.0388,20036,20036,635.0,10.583333333333334
758,W22359,38.9176,-77.0321,38.9176,-77.0321,20010,20010,2457.0,40.95
759,W23139,38.9176,-77.0321,38.9176,-77.0321,20010,20010,85.0,1.4166666666666667
760,W21695,38.9086,-77.0323,38.9086,-77.0323,20006,20005,2023.0,33.71666666666667
761,W23019,38.9086,-77.0323,38.9086,-77.0323,20006,20005,10680.0,178.0
762,W22259,38.9057,-77.0056,38.9057,-77.0056,20002,20002,5763.0,96.05
763,W01108,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4651.0,77.51666666666667
764,W23033,38.8767,-77.0178,38.8767,-77.0178,20024,20024,88.0,1.4666666666666666
765,W21709,38.9086,-77.0323,38.9086,-77.0323,20005,20005,4487.0,74.78333333333333
766,W21717,38.8767,-77.0178,38.8767,-77.0178,20024,20024,698.0,11.633333333333333
767,W22464,38.9176,-77.0321,38.9176,-77.0321,20010,20010,548.0,9.133333333333333
768,W21317,38.9319,-77.0388,38.9319,-77.0388,20036,20036,5730.0,95.5
769,W21316,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1750.0,29.166666666666668
770,W22936,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1692.0,28.2
771,W00131,38.9375,-77.0328,38.9375,-77.0328,20010,20010,1154.0,19.233333333333334
772,W22918,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1983.0,33.05
773,W21129,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1211.0,20.183333333333334
774,W22006,38.9086,-77.0323,38.9086,-77.0323,20006,20005,7095.0,118.25
775,W22424,38.9319,-77.0388,38.9319,-77.0388,20036,20036,678.0,11.3
776,W22058,38.8767,-77.0178,38.8767,-77.0178,20024,20024,6573.0,109.55
777,W23295,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1479.0,24.65
778,W23306,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1056.0,17.6
779,W20588,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2091.0,34.85
780,W20823,38.9086,-77.0323,38.9086,-77.0323,20005,20005,952.0,15.866666666666667
781,W22958,38.9086,-77.0323,38.9086,-77.0323,20005,20005,8952.0,149.2
782,W00450,38.9319,-77.0388,38.9319,-77.0388,20036,20036,5996.0,99.93333333333334
783,W20131,38.9057,-77.0056,38.9057,-77.0056,20002,20002,7979.0,132.98333333333332
784,W00307,38.8767,-77.0178,38.8767,-77.0178,20024,20024,5760.0,96.0
785,W00560,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1360.0,22.666666666666668
786,W21978,38.9086,-77.0323,38.9086,-77.0323,20005,20005,5613.0,93.55
787,W20132,38.9319,-77.0388,38.9319,-77.0388,20036,20036,92.0,1.5333333333333334
788,W22362,38.9057,-77.0056,38.9057,-77.0056,20002,20002,73.0,1.2166666666666666
789,W01067,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4524.0,75.4
790,W01177,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1056.0,17.6
791,W21817,38.9375,-77.0328,38.9375,-77.0328,20010,20010,577.0,9.616666666666667
792,W22211,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2342.0,39.03333333333333
793,W00378,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1468.0,24.466666666666665
794,W20836,38.9086,-77.0323,38.9086,-77.0323,20006,20005,775.0,12.916666666666666
795,W20179,38.9086,-77.0323,38.9086,-77.0323,20006,20005,61.0,1.0166666666666666
796,W01487,38.9057,-77.0056,38.9057,-77.0056,20002,20002,12822.0,213.7
797,W01014,38.8767,-77.0178,38.8767,-77.0178,20024,20024,64.0,1.0666666666666667
798,W23147,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1263.0,21.05
799,W21113,38.9086,-77.0323,38.9086,-77.0323,20006,20005,749.0,12.483333333333333
800,W00591,38.9176,-77.0321,38.9176,-77.0321,20010,20010,3069.0,51.15
801,W22856,38.8637,-77.0633,38.8637,-77.0633,20037,22204,646.0,10.766666666666667
802,W20780,38.9086,-77.0323,38.9086,-77.0323,20006,20005,936.0,15.6
803,W23148,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1571.0,26.183333333333334
804,W21208,38.9176,-77.0321,38.9176,-77.0321,20010,20010,558.0,9.3
805,W22982,38.9057,-77.0056,38.9057,-77.0056,20002,20002,101.0,1.6833333333333333
806,W22029,38.9086,-77.0323,38.9086,-77.0323,20006,20005,254.0,4.233333333333333
807,W22997,38.9176,-77.0321,38.9176,-77.0321,20010,20010,545.0,9.083333333333334
808,W22710,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1297.0,21.616666666666667
809,W23122,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1053.0,17.55
810,W01246,38.8637,-77.0633,38.8637,-77.0633,20037,22204,2119.0,35.31666666666667
811,W23100,38.9086,-77.0323,38.9086,-77.0323,20005,20005,7157.0,119.28333333333333
812,W21083,38.9057,-77.0056,38.9057,-77.0056,20002,20002,413.0,6.883333333333334
813,W00226,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1077.0,17.95
814,W00981,38.8637,-77.0633,38.8637,-77.0633,20037,22204,129.0,2.15
815,W22476,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1073.0,17.883333333333333
816,W22642,38.8767,-77.0178,38.8767,-77.0178,20024,20024,293.0,4.883333333333334
817,W01384,38.8952,-77.0436,38.8952,-77.0436,20036,20036,9758.0,162.63333333333333
818,W01212,38.9086,-77.0323,38.9086,-77.0323,20006,20005,78.0,1.3
819,W20924,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1846.0,30.766666666666666
820,W21326,38.9375,-77.0328,38.9375,-77.0328,20010,20010,505.0,8.416666666666666
821,W22338,38.9375,-77.0328,38.9375,-77.0328,20010,20010,4501.0,75.01666666666667
822,W21238,38.8952,-77.0436,38.8952,-77.0436,20036,20036,516.0,8.6
823,W22683,38.9057,-77.0056,38.9057,-77.0056,20002,20002,4111.0,68.51666666666667
824,W22644,38.8767,-77.0178,38.8767,-77.0178,20024,20024,431.0,7.183333333333334
825,W01057,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3157.0,52.61666666666667
826,W20904,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3699.0,61.65
827,W01090,38.9086,-77.0323,38.9086,-77.0323,20006,20005,590.0,9.833333333333334
828,W20051,38.9176,-77.0321,38.9176,-77.0321,20010,20010,10188.0,169.8
829,W00751,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4711.0,78.51666666666667
830,W01005,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1636.0,27.266666666666666
831,W00724,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2160.0,36.0
832,W00591,38.8767,-77.0178,38.8767,-77.0178,20024,20024,113.0,1.8833333333333333
833,W20691,38.8952,-77.0436,38.8952,-77.0436,20006,20006,3908.0,65.13333333333334
834,W20164,38.8767,-77.0178,38.8767,-77.0178,20024,20024,527.0,8.783333333333333
835,W20173,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4311.0,71.85
836,W23203,38.9086,-77.0323,38.9086,-77.0323,20006,20005,74.0,1.2333333333333334
837,W22853,38.9375,-77.0328,38.9375,-77.0328,20010,20010,291.0,4.85
838,W22971,38.9003,-77.0429,38.9003,-77.0429,20006,20006,470.0,7.833333333333333
839,W01388,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1028.0,17.133333333333333
840,W22563,38.9086,-77.0323,38.9086,-77.0323,20006,20005,762.0,12.7
841,W21174,38.9086,-77.0323,38.9086,-77.0323,20005,20005,3648.0,60.8
842,W20113,38.9057,-77.0056,38.9057,-77.0056,20002,20002,7289.0,121.48333333333333
843,W00370,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3481.0,58.016666666666666
844,W22579,38.8767,-77.0178,38.8767,-77.0178,20024,20024,298.0,4.966666666666667
845,W23352,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2170.0,36.166666666666664
846,W22427,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2369.0,39.483333333333334
847,W21351,38.9086,-77.0323,38.9086,-77.0323,20006,20005,113.0,1.8833333333333333
848,W20865,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2203.0,36.71666666666667
849,W21583,38.8637,-77.0633,38.8637,-77.0633,20037,22204,78.0,1.3
850,W22305,38.9086,-77.0323,38.9086,-77.0323,20006,20005,5539.0,92.31666666666666
851,W22512,38.8637,-77.0633,38.8637,-77.0633,20037,22204,13042.0,217.36666666666667
852,W23117,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1523.0,25.383333333333333
853,W01158,38.9249,-77.0222,38.9249,-77.0222,20059,20059,800.0,13.333333333333334
854,W00039,38.9176,-77.0321,38.9176,-77.0321,20010,20010,111.0,1.85
855,W20771,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1187.0,19.783333333333335
856,W21048,38.9086,-77.0323,38.9086,-77.0323,20006,20005,408.0,6.8
857,W22225,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1810.0,30.166666666666668
858,W20545,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2415.0,40.25
859,W22928,38.9086,-77.0323,38.9086,-77.0323,20006,20005,716.0,11.933333333333334
860,W20461,38.9057,-77.0056,38.9057,-77.0056,20002,20002,283.0,4.716666666666667
861,W20968,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2986.0,49.766666666666666
862,W20605,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1301.0,21.683333333333334
863,W20553,38.8952,-77.0436,38.8952,-77.0436,20006,20006,8051.0,134.18333333333334
864,W21315,38.9375,-77.0328,38.9375,-77.0328,20010,20010,684.0,11.4
865,W23385,38.8637,-77.0633,38.8637,-77.0633,20037,22204,3043.0,50.71666666666667
866,W22402,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2549.0,42.483333333333334
867,W22771,38.9086,-77.0323,38.9086,-77.0323,20006,20005,10499.0,174.98333333333332
868,W22366,38.8767,-77.0178,38.8767,-77.0178,20024,20024,733.0,12.216666666666667
869,W00272,38.9375,-77.0328,38.9375,-77.0328,20010,20010,84.0,1.4
870,W20035,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3042.0,50.7
871,W21891,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1922.0,32.03333333333333
872,W20293,38.9057,-77.0056,38.9057,-77.0056,20002,20002,5021.0,83.68333333333334
873,W21213,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1688.0,28.133333333333333
874,W21047,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1115.0,18.583333333333332
875,W23076,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1037.0,17.283333333333335
876,W01136,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1011.0,16.85
877,W01346,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1805.0,30.083333333333332
878,W22213,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4525.0,75.41666666666667
879,W23067,38.8952,-77.0436,38.8952,-77.0436,20006,20006,814.0,13.566666666666666
880,W20565,38.9176,-77.0321,38.9176,-77.0321,20010,20010,284.0,4.733333333333333
881,W00364,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1029.0,17.15
882,W23232,38.8767,-77.0178,38.8767,-77.0178,20024,20024,980.0,16.333333333333332
883,W21943,38.8767,-77.0178,38.8767,-77.0178,20024,20024,432.0,7.2
884,W22546,38.9057,-77.0056,38.9057,-77.0056,20002,20002,68.0,1.1333333333333333
885,W21530,38.8952,-77.0436,38.8952,-77.0436,20006,20006,561.0,9.35
886,W00491,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1232.0,20.533333333333335
887,W23045,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1450.0,24.166666666666668
888,W22104,38.9249,-77.0222,38.9249,-77.0222,20059,20059,277.0,4.616666666666666
889,W23255,38.9086,-77.0323,38.9086,-77.0323,20006,20005,112.0,1.8666666666666667
890,W22555,38.9086,-77.0323,38.9086,-77.0323,20005,20005,8287.0,138.11666666666667
891,W20442,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1252.0,20.866666666666667
892,W21266,38.9375,-77.0328,38.9375,-77.0328,20010,20010,60.0,1.0
893,W22761,38.8952,-77.0436,38.8952,-77.0436,20036,20036,9434.0,157.23333333333332
894,W20757,38.9086,-77.0323,38.9086,-77.0323,20006,20005,2104.0,35.06666666666667
895,W21787,38.9086,-77.0323,38.9086,-77.0323,20005,20005,3090.0,51.5
896,W00322,38.8952,-77.0436,38.8952,-77.0436,20006,20006,6450.0,107.5
897,W22555,38.9086,-77.0323,38.9086,-77.0323,20006,20005,8287.0,138.11666666666667
898,W01143,38.9086,-77.0323,38.9086,-77.0323,20005,20005,334.0,5.566666666666666
899,W22094,38.9086,-77.0323,38.9086,-77.0323,20005,20005,792.0,13.2
900,W21407,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1813.0,30.216666666666665
901,W20760,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2137.0,35.61666666666667
902,W22610,38.8767,-77.0178,38.8767,-77.0178,20024,20024,858.0,14.3
903,W23314,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1136.0,18.933333333333334
904,W20944,38.8767,-77.0178,38.8767,-77.0178,20024,20024,751.0,12.516666666666667
905,W00951,38.9319,-77.0388,38.9319,-77.0388,20036,20036,64.0,1.0666666666666667
906,W01326,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1270.0,21.166666666666668
907,W21353,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2856.0,47.6
908,W21775,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1164.0,19.4
909,W22751,38.9086,-77.0323,38.9086,-77.0323,20005,20005,8970.0,149.5
910,W23360,38.8952,-77.0436,38.8952,-77.0436,20036,20036,8588.0,143.13333333333333
911,W20224,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1545.0,25.75
912,W23055,38.8767,-77.0178,38.8767,-77.0178,20024,20024,7974.0,132.9
913,W00124,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1588.0,26.466666666666665
914,W22072,38.9319,-77.0388,38.9319,-77.0388,20010,20036,,
915,W20514,38.8637,-77.0633,38.8637,-77.0633,20037,22204,2157.0,35.95
916,W22298,38.9003,-77.0429,38.9003,-77.0429,20006,20006,4279.0,71.31666666666666
917,W22998,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1426.0,23.766666666666666
918,W22675,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1645.0,27.416666666666668
919,W00241,38.8952,-77.0436,38.8952,-77.0436,20006,20006,2111.0,35.18333333333333
920,W00850,38.9086,-77.0323,38.9086,-77.0323,20006,20005,,
921,W22743,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1134.0,18.9
922,W21544,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1193.0,19.883333333333333
