,Bike_number,StartLatitude,StartLongitude,EndLatitude,EndLogitude,OriginZip,DestinationZip,Duration,Duration per minute
422,W00637,38.8767,-77.0178,38.8767,-77.0178,20024,20024,145.0,2.4166666666666665
423,W01104,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1437.0,23.95
424,W22097,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1371.0,22.85
425,W21108,38.9086,-77.0323,38.9086,-77.0323,20006,20005,6420.0,107.0
426,W20524,38.8637,-77.0633,38.8637,-77.0633,20037,22204,7160.0,119.33333333333333
427,W22063,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1604.0,26.733333333333334
428,W01408,38.9319,-77.0388,38.9319,-77.0388,20010,20036,11579.0,192.98333333333332
429,W00045,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2893.0,48.21666666666667
430,W22282,38.8637,-77.0633,38.8637,-77.0633,20037,22204,74.0,1.2333333333333334
431,W22490,38.9086,-77.0323,38.9086,-77.0323,20006,20005,3851.0,64.18333333333334
432,W22278,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1191.0,19.85
433,W01222,38.9057,-77.0056,38.9057,-77.0056,20002,20002,534.0,8.9
434,W20325,38.8637,-77.0633,38.8637,-77.0633,20037,22204,2267.0,37.78333333333333
435,W20680,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1549.0,25.816666666666666
436,W21439,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2453.0,40.88333333333333
437,W01459,38.8767,-77.0178,38.8767,-77.0178,20024,20024,745.0,12.416666666666666
438,W22176,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1178.0,19.633333333333333
439,W20387,38.9057,-77.0056,38.9057,-77.0056,20002,20002,6431.0,107.18333333333334
440,W01373,38.9086,-77.0323,38.9086,-77.0323,20006,20005,391.0,6.516666666666667
441,W22969,38.9086,-77.0323,38.9086,-77.0323,20006,20005,191.0,3.183333333333333
442,W22856,38.9176,-77.0321,38.9176,-77.0321,20010,20010,4445.0,74.08333333333333
443,W22623,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1675.0,27.916666666666668
444,W01253,38.8952,-77.0436,38.8952,-77.0436,20036,20036,5640.0,94.0
445,W23300,38.9057,-77.0056,38.9057,-77.0056,20002,20002,90.0,1.5
446,W01158,38.8767,-77.0178,38.8767,-77.0178,20024,20024,5122.0,85.36666666666666
447,W22195,38.9249,-77.0222,38.9249,-77.0222,20059,20059,2310.0,38.5
448,W20973,38.9249,-77.0222,38.9249,-77.0222,20059,20059,1872.0,31.2
449,W20351,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1032.0,17.2
450,W21079,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1164.0,19.4
451,W23198,38.9086,-77.0323,38.9086,-77.0323,20005,20005,117.0,1.95
452,W00628,38.9086,-77.0323,38.9086,-77.0323,20006,20005,5432.0,90.53333333333333
453,W00067,38.9176,-77.0321,38.9176,-77.0321,20010,20010,156.0,2.6
454,W20545,38.9176,-77.0321,38.9176,-77.0321,20010,20010,522.0,8.7
455,W21974,38.9003,-77.0429,38.9003,-77.0429,20006,20006,6529.0,108.81666666666666
456,W20232,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3141.0,52.35
457,W23352,38.8767,-77.0178,38.8767,-77.0178,20024,20024,,
458,W20281,38.9319,-77.0388,38.9319,-77.0388,20010,20036,115.0,1.9166666666666667
459,W20558,38.9319,-77.0388,38.9319,-77.0388,20010,20036,544.0,9.066666666666666
460,W01327,38.9003,-77.0429,38.9003,-77.0429,20006,20006,11361.0,189.35
461,W00465,38.9086,-77.0323,38.9086,-77.0323,20005,20005,5724.0,95.4
462,W22483,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1064.0,17.733333333333334
463,W00064,38.8952,-77.0436,38.8952,-77.0436,20036,20036,9059.0,150.98333333333332
464,W00764,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1772.0,29.533333333333335
465,W20128,38.9176,-77.0321,38.9176,-77.0321,20010,20010,9269.0,154.48333333333332
466,W23058,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4118.0,68.63333333333334
467,W01454,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1708.0,28.466666666666665
468,W22071,38.8637,-77.0633,38.8637,-77.0633,20037,22204,663.0,11.05
469,W22489,38.8952,-77.0436,38.8952,-77.0436,20036,20036,82.0,1.3666666666666667
470,W20922,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1618.0,26.966666666666665
471,W00629,38.9319,-77.0388,38.9319,-77.0388,20036,20036,564.0,9.4
472,W23077,38.8637,-77.0633,38.8637,-77.0633,20037,22204,6206.0,103.43333333333334
473,W20259,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1730.0,28.833333333333332
474,W21391,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1873.0,31.216666666666665
475,W22108,38.9176,-77.0321,38.9176,-77.0321,20010,20010,77.0,1.2833333333333334
476,W22777,38.9086,-77.0323,38.9086,-77.0323,20006,20005,4410.0,73.5
477,W23385,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2106.0,35.1
478,W22203,38.9057,-77.0056,38.9057,-77.0056,20002,20002,174.0,2.9
479,W00645,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1041.0,17.35
480,W21850,38.9375,-77.0328,38.9375,-77.0328,20010,20010,631.0,10.516666666666667
481,W00285,38.9086,-77.0323,38.9086,-77.0323,20005,20005,536.0,8.933333333333334
482,W00850,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3047.0,50.78333333333333
483,W21160,38.8637,-77.0633,38.8637,-77.0633,20037,22204,5352.0,89.2
484,W01159,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4054.0,67.56666666666666
485,W21672,38.9086,-77.0323,38.9086,-77.0323,20006,20005,410.0,6.833333333333333
486,W00628,38.9086,-77.0323,38.9086,-77.0323,20005,20005,5432.0,90.53333333333333
487,W00380,38.8952,-77.0436,38.8952,-77.0436,20006,20006,3507.0,58.45
