,externalID,OriginZip,DestinationZip,TotalAMount,milage,Duration
2257,77344_26NFRKSE,20004,20004,9.28,0.69,383
2258,74264_26NL2X3K,20006,20009,10.15,1.28,554
2259,31691154,20007,20001,22.45,2.65,30
2260,74143_26NNHPCU,20006,22201,13.06,3.27,470
2261,1355437A,20017,20011,16.88,2.173556430445,911
2262,77125_26NMX0CH,20002,20745,37.15,9.86,1887
2263,71579_26NL3R55,20024,22202,56.16,7.15,4046
2264,33402402,20004,22041,29.07,8.3,31
2265,28188316,20011,20003,26.29,7.58,29
2266,77786_26NOP8GV,20001,20009,10.25,1.41,676
2267,53692_26NSUDM6,20006,20001,9.36,1.21,457
2268,30972185,20002,20015,25.1,7.04,35
2269,30057931,22202,22202,47.84,17.4,32
2270,26867196,20002,20019,22.43,3.8,31
2271,81490_26NCR9PQ,20037,20052,11.01,1.08,330
2272,30886775,20004,20166,77.98,27.2,36
2273,63103_26NONCAG,20005,20001,11.63,1.5,490
2274,70958_26NDBOH5,20009,20008,6.47,0.98,274
2275,26706077,20036,20174,75.8,27.0,32
2276,78569_26NU1H2X,20005,20005,5.93,0.55,274
2277,53533_26NO2JWM,20006,20009,10.17,1.64,546
2278,27553094,20002,20814,33.42,9.0,39
2279,30872320,20219,20001,24.35,4.0,30
2280,27313934,20036,20002,18.62,2.0,34
2281,32509758,20005,20009,23.64,2.54,38
2282,66348_26NL2HRB,20002,20783,21.59,5.23,1456
2283,35078691,22202,22202,33.61,6.0,38
2284,28868526,20036,22203,28.83,5.5,30
2285,28998206,20001,20001,78.84,30.0,41
2286,72557_26NONKCY,20005,20018,21.86,5.89,1561
2287,75258_26NO2JEM,20004,20024,5.93,0.59,241
2288,31950278,20007,22202,36.09,11.0,37
2289,31843958,20002,20004,34.88,5.2,51
2290,30353531,20009,20036,11.82,1.0,47
2291,31659355,20037,20037,18.08,4.34,29
2292,81086_26NM8B5A,20009,20004,16.41,2.81,768
2293,34581555,20036,21240,90.42,36.0,47
2294,33213155,20372,20002,75.87,27.4,48
2295,31668460,20001,20003,30.02,3.0,35
2296,64360_26NPA0AX,20007,20002,19.43,3.66,1488
2297,28457214,20004,22202,25.98,4.3,33
2298,26728028,20036,20740,34.28,1.0,44
2299,33987107,20002,20785,26.72,9.3,31
2300,28672679,20001,20001,18.62,2.64,31
2301,76718_26NCNW0D,20008,20002,22.67,5.26,1758
2302,75630_26NQCZPN,20009,20036,9.17,1.8,552
2303,29977012,20007,20004,20.08,4.0,29
2304,31383116,20010,20010,19.97,6.0,29
2305,27143871,20002,22202,25.25,5.8,34
2306,73925_26NNZHUY,20009,20009,10.01,1.1,310
2307,30311059,20006,20019,24.56,6.36,37
2308,77251_26NS9H5V,20565,22153,52.1,19.53,2899
2309,77116_26NDCYPL,20036,22202,21.32,6.61,1186
2310,71648_26NDUPH0,20024,20036,14.76,2.64,964
2311,26991128,20003,20006,6.2,1.0,35
2312,76970_26NMUN64,20008,20015,10.0,1.06,257
2313,30290287,20008,20036,10.17,1.5,53
2314,80555_26NNERSA,20009,20001,7.82,1.04,433
2315,74536_26NLQ1LE,20024,20024,6.39,0.55,198
2316,34673811,20002,20001,18.97,3.24,29
2317,80784_26NOOLH6,20009,20007,10.9,1.48,553
2318,35465287,20036,20006,31.65,5.35,33
2319,30005525,20016,20016,37.24,5.0,43
2320,65575_26NDYKNU,20002,22311,28.88,10.2,1309
2321,26404038,20020,20020,29.15,8.98,44
2322,27582700,20002,20024,84.64,34.2,58
2323,29175187,20005,21240,92.56,32.0,51
2324,82875_26NNZCTV,20005,20004,13.33,2.0,736
2325,34280328,20001,20007,18.81,3.0,31
2326,26937628,20005,20016,22.96,4.0,29
2327,60664_26NFRAG4,20037,20166,133.91,48.44,7743
2328,31750372,20036,20166,65.79,27.6,43
2329,81305_26NIQJ0K,20001,20002,12.14,2.0,842
2330,32417989,20001,22314,28.04,7.0,29
2331,79962_26NDA3H4,20005,22203,21.08,5.16,1049
2332,64180_26NO2XBF,20004,20009,9.98,2.0,592
2333,81500_26NP5Z3A,20052,20016,18.0,4.85,942
2334,74138_26NF4UVC,20002,20005,11.06,1.54,744
2335,65118_26NFQVWZ,20001,20016,22.94,7.27,1413
2336,31595088,20002,20166,84.88,30.5,43
2337,26612488,20001,20032,28.18,7.5,34
2338,51130_26NNG76R,20016,20010,32.15,6.82,2057
2339,79102_26NPANGD,20037,20037,13.63,1.5,492
2340,34263920,20037,20408,24.96,4.9,29
2341,81022_26NF47FA,20006,20036,7.2,0.56,305
2342,77017_26ND93LQ,20009,20009,9.32,0.89,456
2343,82760_26NF6395,20001,22202,22.05,5.38,1426
2344,33018142,20002,20166,91.26,32.1,46
2345,35599257,20005,22182,42.14,14.2,42
2346,27031196,20015,22202,33.58,11.0,39
2347,63716_26NQEADQ,20001,20002,9.09,1.82,369
2348,29482116,20009,20166,77.75,27.6,37
2349,34827546,20006,20032,30.94,7.11,46
2350,82663_26NTCFGR,20001,22201,15.03,4.29,712
2351,76686_26NTGIUZ,20010,20011,7.2,0.83,304
2352,32959517,20004,20004,15.38,4.97,36
2353,77743_26NU1S1T,20004,20005,11.52,1.42,703
2354,58425_26NEIWUI,20036,20037,8.63,1.43,473
2355,27850753,20001,22202,23.96,5.8,30
2356,35241315,20010,20020,34.37,7.34,42
2357,70184_26NP6E64,20001,20001,8.01,0.99,346
2358,75059_26NNGMG2,20024,20002,7.47,1.16,269
2359,26833756,20002,22182,50.34,18.9,34
2360,78896_26NU0FI0,20002,20004,10.98,1.71,589
2361,31383020,20004,22182,55.68,19.0,33
2362,34327206,20004,20024,89.94,33.9,50
2363,77285_26NST74D,20002,20001,5.39,0.48,395
2364,30657930,20002,20006,23.28,2.8,32
2365,80795_26NM70KS,20045,20009,14.14,2.12,836
2366,27617884,20002,20011,18.35,4.8,30
2367,1361607A,20009,20002,24.0,2.5196601845210003,1371
2368,34752912,20008,20010,77.36,20.0,93
2369,1354545A,20010,20011,12.79,1.7112562634206998,705
2370,35264631,20744,20019,39.41,12.72,74
2371,30578452,20005,20005,78.7,28.0,46
2372,35781711,20002,20815,32.15,8.4,42
2373,65301_26NCS3BY,20001,22202,15.65,4.88,797
2374,32859128,20009,20032,33.88,7.0,46
2375,72900_26ND90O2,20004,20566,9.71,2.24,520
2376,64629_26NNICD4,20433,20004,14.06,1.62,747
2377,80772_26NFQ15H,20024,22202,13.95,4.18,567
2378,35510878,20019,20017,5.25,7.2,29
2379,35320797,20011,20007,3.5,2.9,31
2380,34163861,20002,22102,44.27,17.9,34
2381,82078_26NP6NQ3,20001,20009,12.06,2.11,713
2382,30321490,20037,20166,67.14,27.7,47
2383,77537_26NL3QWJ,20011,20010,11.87,2.85,680
2384,32671197,20002,20037,27.45,4.9,39
2385,73078_26NCRY5P,20005,20002,13.68,1.9,882
2386,73744_26NNYTKB,20001,20002,9.63,0.98,526
2387,78205_26NOOEZI,20009,22202,21.86,5.97,1519
2388,36283134,20850,20036,64.26,21.95,34
2389,30966233,20019,20001,27.64,6.68,37
2390,30860489,20001,20008,28.37,3.0,42
2391,29619788,20004,20817,37.25,11.4,32
2392,76282_26NFMVKB,20007,20814,24.61,5.89,1444
2393,34514896,20036,20036,19.43,2.4,29
2394,79474_26NCO1SP,20009,20008,13.87,2.5,785
2395,34347294,20002,20903,29.69,8.0,44
2396,81848_26NFPZG0,20005,22102,54.72,22.04,2011
2397,30566235,20009,20229,24.29,3.7,35
2398,34036465,20001,20015,25.37,8.5,30
2399,75074_26NSTR36,20268,20001,8.09,0.84,480
2400,31595752,20004,20166,83.26,30.0,36
2401,65078_26NNYVY2,20001,20003,11.17,2.54,362
2402,77519_26NS8K7N,20037,20004,11.06,2.08,698
2403,29543680,20004,20001,7.12,0.5,51
2404,27790582,20219,20002,25.61,3.5,33
2405,73998_26NCRA2D,20045,20037,10.25,1.66,665
2406,80424_26NSUNEA,20002,20019,13.22,3.24,807
2407,91056_26NQYGGY,20011,20009,14.76,3.53,803
2408,30113050,22202,20015,3.5,4.0,30
2409,82447_26NUN60N,20037,20002,8.28,1.19,338
2410,33647307,20242,20037,3.5,3.4,29
2411,76179_26NNDHMV,20037,20002,15.95,2.74,812
2412,75361_26NDDYM2,20008,20015,13.25,2.33,615
2413,29828835,20007,22041,32.12,10.3,31
2414,36093829,20001,20009,26.45,3.0,29
2415,76302_26NTG8ZA,20001,20001,7.47,0.84,299
2416,57294_26NOO4L0,20005,20004,9.82,1.26,406
2417,36219286,20001,20015,22.59,6.0,33
2418,36053906,20037,20003,23.16,4.0,32
2419,56450_26NPUF0Q,20036,20009,7.28,1.07,385
2420,30139836,20003,20009,19.62,3.37,32
2421,26582688,20005,20166,80.57,27.5,48
2422,52192_26NCR1FC,20024,20036,14.3,3.3,809
2423,28978752,20008,20002,30.37,5.5,31
2424,75969_26NMTCO5,20001,20001,6.66,0.66,221
2425,32889208,20001,20015,45.59,11.0,43
2426,79072_26NMVOOV,20515,20001,12.79,1.75,677
2427,81485_26NU24RN,20006,20006,7.2,0.87,275
2428,74571_26NR2JRC,20002,20009,12.87,2.33,746
2429,77464_26NLLMN2,20036,20009,13.68,1.5,968
2430,61420_26NDUY91,20024,20001,17.54,3.2,1314
2431,30018823,20009,22202,26.78,6.0,29
2432,28712947,20036,20737,61.7,17.1,41
2433,1358878A,20037,22202,18.38,5.1698083194118,649
2434,34926399,20001,20166,67.33,27.6,45
2435,63273_26NDDC1W,20002,20037,15.86,3.06,826
2436,70763_26NDA7CV,20024,20009,15.51,3.23,865
2437,28232515,20037,20002,21.16,3.97,32
2438,34281675,20502,20002,28.13,4.0,32
2439,75694_26NFPKYE,20005,20002,9.44,1.44,562
2440,34066171,20002,20002,19.6,3.0,29
2441,32985878,20009,20024,66.14,28.2,46
2442,71564_26NST4XF,20010,20037,15.03,2.62,926
2443,76934_26NNHPHT,20037,20024,8.9,1.68,459
2444,30651947,20002,20894,58.59,20.3,39
2445,76604_26ND9BKC,20009,20007,10.98,1.65,675
2446,78285_26NNHVZ4,20036,20002,18.35,3.45,1402
2447,27044059,20006,20011,20.51,5.14,29
2448,33190446,20032,20002,21.62,5.14,32
2449,33902158,20001,20166,88.75,30.3,50
2450,27248839,20024,20003,21.54,3.6,31
2451,33022062,20002,20007,24.52,4.8,35
2452,30320620,20037,22202,26.72,6.1,40
2453,79893_26NPRZGK,20005,20036,5.93,0.68,275
2454,73470_26NU23BJ,20009,20009,6.58,0.34,121
2455,1355660A,22202,20005,17.49,3.8170832339119,709
2456,27775895,20520,20003,23.48,5.3,42
2457,27793522,20005,20166,82.68,27.9,41
2458,74871_26NF69EY,20009,20007,17.0,2.35,1364
2459,33821156,20004,20011,32.24,4.6,49
2460,63451_26NUMJ6L,20005,20024,12.14,2.35,800
2461,36323030,20036,20036,75.05,26.0,33
2462,32244148,20005,20166,65.79,27.9,34
2463,31301733,20010,20007,24.29,7.7,30
2464,28920668,20001,20774,45.25,13.6,33
2465,32025537,20037,20037,61.39,10.4,93
2466,29826599,20008,20001,83.94,28.9,41
2467,34517062,20002,20012,31.02,7.6,32
2468,73470_26NTY0LV,20005,20245,15.38,3.86,1034
2469,28707398,20001,21240,98.29,33.0,43
2470,82854_26NF57O0,20001,20005,11.98,1.71,622
2471,33592488,20010,20743,37.52,14.9,29
2472,1358653A,20001,20009,12.95,2.7595094647245,856
2473,32745607,20002,20015,25.62,5.0,33
2474,34358971,20002,20002,101.51,25.29,155
2475,36210876,20037,20037,64.98,28.0,33
2476,77718_26NKJ0IC,20006,20005,10.91,0.37,492
2477,36069219,20001,22202,20.78,6.0,32
2478,82862_26NCR1IA,20001,20037,11.0,1.89,559
2479,35078672,20002,20852,55.8,23.0,39
2480,30812270,20001,20009,23.96,2.6,39
2481,35974665,20003,20006,29.0,3.21,32
2482,28375228,20003,20009,42.51,9.0,57
2483,77992_26NQGIW5,20009,20544,16.3,2.96,921
2484,28939019,22202,20016,31.26,9.17,30
2485,31376865,20003,20011,28.99,9.0,36
2486,26930696,20001,20037,24.21,4.0,41
2487,74906_26NNDPFQ,20036,22101,34.99,10.56,1041
2488,34772548,20009,22101,52.91,16.0,29
2489,1360483A,20003,20002,9.47,1.1899258331338998,343
2490,74264_26NLMSV3,20009,20001,7.55,1.03,437
2491,79458_26NNGQ0V,20004,20004,4.85,0.46,142
2492,31310924,20002,22182,50.86,17.0,36
2493,74738_26NF5I08,20004,20036,16.22,3.1,806
2494,28381577,20005,22033,71.93,22.7,48
2495,71274_26NDAS6O,20011,20010,8.82,1.58,365
2496,30102793,20006,20002,22.34,2.79,32
2497,77729_26NCQE7S,20001,22202,16.73,5.49,986
2498,77145_26NU1R7D,20008,20009,9.36,1.51,464
2499,77745_26NCNPJ8,20004,20005,10.0,0.89,379
2500,27057042,20036,22202,34.01,7.0,42
2501,1363679A,20018,20018,3.5,0.0,59
2502,76718_26ND9ICJ,20004,20004,9.2,0.48,297
2503,29028282,20036,22301,44.58,7.2,32
2504,77410_26NULO5K,20004,20036,6.93,1.0,227
2505,34563733,20001,20001,23.48,8.0,29
2506,35584293,20001,20037,33.47,3.96,50
2507,33782946,20565,20002,19.08,2.9,32
2508,30068215,20036,20036,89.92,31.0,45
2509,27471239,20036,20004,19.97,3.0,32
2510,26684427,20001,20010,21.32,3.0,37
2511,77739_26NLMPM7,20008,20008,5.12,0.76,119
2512,28978475,20016,20016,57.48,13.7,66
2513,26710554,20009,20009,19.16,3.0,33
2514,64154_26NMA9MM,20009,20009,5.93,0.43,264
2515,35509793,20001,20017,49.35,7.83,54
2516,73160_26NCRI37,20002,20229,9.09,1.42,432
2517,34438780,20008,20166,66.36,26.8,35
2518,77409_26NQE5BF,20005,20001,5.12,0.52,166
2519,58599_26NMVOW7,20037,20036,7.01,1.05,350
2520,35013720,20002,20037,19.7,7.5,40
2521,82095_26NNDEMF,20515,20004,12.25,1.84,662
2522,31119382,20004,20008,28.04,6.0,32
2523,26925522,20001,22031,44.46,16.8,37
2524,71761_26NTFTOU,20037,20009,6.2,0.67,280
2525,62149_26NSU1I0,20006,20024,11.52,2.71,584
2526,30038533,20036,20009,23.21,4.9,37
2527,72964_26NU1G8K,20004,20024,8.28,1.01,388
2528,79007_26NMA03O,20011,20783,7.01,1.02,311
2529,34120088,20037,20002,22.78,4.38,35
2530,66485_26NHIXMN,20009,20036,6.74,1.33,251
2531,29953071,20018,22202,37.1,9.0,42
2532,28770794,20010,20005,27.8,7.2,43
2533,72856_26NDUHD8,20001,20007,20.53,2.18,1152
2534,35160675,20036,22202,28.67,6.0,32
2535,31866961,20007,20002,26.46,3.7,38
2536,74027_26NPRGC2,20006,20001,11.71,1.81,566
2537,33670654,20001,21240,95.86,35.0,49
2538,29059372,20036,22204,42.86,14.0,56
2539,78373_26NPA89T,20036,20002,16.49,2.02,989
2540,78185_26NJXT7D,20005,20009,11.98,1.56,651
2541,64534_26NCRHYH,20002,20007,21.16,3.43,1499
2542,51554_26NQFRUT,20024,20024,4.58,0.31,133
2543,31225695,20005,20007,76.6,27.6,41
2544,77251_26NEKPBK,20036,20003,20.54,3.64,1253
2545,72028_26NMWGLZ,20005,22202,20.19,5.01,916
2546,77941_26NMWBLK,20004,20002,10.44,0.98,618
2547,74550_26NDC4RV,20268,20001,5.12,0.4,195
2548,71351_26NLNIPR,20037,20566,9.63,1.77,433
2549,77739_26NRJPL3,20009,20010,7.82,1.16,421
2550,91216_26NPSQ2U,20036,20037,6.93,0.6,265
2551,75193_26NP83CG,20009,20036,12.14,1.31,870
2552,63103_26NMV260,20004,20004,8.28,0.96,344
2553,72864_26NDABNN,20009,20001,7.55,1.31,401
2554,30094503,20001,20166,90.44,31.2,39
2555,32400272,20002,22206,30.8,7.9,35
2556,79197_26NFOCPM,20001,20002,13.36,1.61,436
2557,79065_26NNZBGB,20005,20036,7.28,1.46,355
2558,34947966,20004,22204,26.99,0.0,38
2559,77795_26NFQ7VH,20009,20005,10.79,1.61,713
2560,28289592,20007,20745,34.12,11.8,37
2561,82403_26NTF5GC,20037,20009,9.74,0.9,362
2562,28951184,20007,20174,67.79,28.0,36
2563,64154_26NFQOD0,20037,20001,10.52,1.4,722
2564,76694_26NFR1K3,20045,20036,10.25,1.33,676
2565,35314088,20037,20037,40.22,16.0,35
2566,26728402,20002,20007,19.7,4.0,32
2567,33770690,20005,20166,83.58,27.5,48
2568,79355_26NPSFCU,20005,20003,14.3,4.41,747
2569,35781372,20011,20011,10.09,1.5,30
2570,32443917,20009,22314,32.61,6.0,33
2571,73283_26NEJZCE,20004,20037,8.63,1.48,474
2572,76946_26NL41SG,20006,20001,18.36,2.21,1109
2573,64656_26NCS34A,20515,20002,6.74,0.95,318
2574,31639306,20037,20010,21.05,2.1,31
2575,28709880,22206,22206,31.7,6.0,44
2576,20170434451834,20019,20017,31.04,8.17,36
2577,80301_26NCO3W1,20002,20036,14.14,2.11,823
2578,34147571,20009,22202,27.11,6.0,30
2579,34702049,20036,20814,34.73,8.9,41
2580,81520_26NDE1DV,20036,20002,13.68,2.38,910
2581,61405_26NSQISX,20007,20007,8.82,1.09,437
2582,79393_26NMB4VF,20001,20001,10.55,1.24,383
2583,73336_26NL46HF,20005,20024,21.05,2.9,1343
2584,30292992,20001,22202,24.75,3.9,43
2585,78100_26NF5XJD,20002,20001,13.76,2.04,1000
2586,33114444,20166,20004,76.78,27.0,44
2587,35712658,20009,20024,27.48,3.43,31
2588,32720301,20024,20174,65.87,29.0,35
2589,81123_26NF1EV2,20001,20036,9.71,1.78,558
2590,1354737A,20001,20008,17.38,4.2452079853632005,1281
2591,72799_26NF5OA7,20036,20560,15.33,2.28,745
2592,77279_26NP9Z2N,20007,20006,8.63,1.45,522
2593,35923924,20004,20015,26.85,7.0,30
2594,61540_26NTFN48,20024,22202,16.38,3.91,853
2595,78258_26NF4TSN,20036,20001,14.41,2.13,886
2596,30790239,20001,20814,48.46,9.6,61
2597,32321288,20002,20008,22.64,4.0,31
2598,56158_26NM7T1A,20024,22203,18.08,5.75,872
2599,31831128,20009,20002,19.35,3.2,31
2600,82020_26NFQGA6,20008,20560,16.65,3.22,1103
2601,73917_26ND9WTL,20009,20009,4.31,0.29,107
2602,53661_26NDBT6W,20009,20004,11.98,2.5,488
2603,66507_26NCRPC9,20037,20544,14.57,2.66,1069
2604,28604804,20002,20002,19.54,3.0,29
2605,33091075,20005,20003,17.27,2.9,29
2606,32442611,20036,20001,22.89,3.4,33
2607,80973_26NQGNVY,20009,20036,7.55,1.1,371
2608,28994651,20006,20001,16.19,1.4,31
2609,70070_26NSTZ96,20036,20009,6.12,0.63,152
2610,78001_26ND9YAB,20009,20052,11.98,1.87,565
2611,26590470,20010,20003,25.25,5.0,33
2612,77251_26NMV059,20007,20037,8.36,1.8,420
2613,32062087,20001,20001,5.1,0.3,484
2614,53247_26NROEKW,20002,20009,15.22,2.73,857
2615,58764_26NF4LAI,20515,20003,8.09,0.96,434
2616,32063890,20001,20037,31.84,4.2,31
2617,80170_26NDVCNU,20009,20005,9.61,0.92,360
2618,27376603,20002,20008,25.23,4.0,32
2619,35158683,20002,20002,56.0,0.0,42
2620,29690722,20036,20024,19.89,3.9,30
2621,28657865,20036,20910,25.64,7.0,42
2622,79579_26NUIMZU,20002,20002,9.12,0.54,178
2623,33208044,20002,20002,86.48,31.0,51
2624,32854306,20002,20002,60.21,21.0,31
2625,34663760,20008,20166,64.17,28.0,38
2626,73105_26NL2J86,20010,20005,9.17,1.83,490
2627,31954045,20008,22202,34.06,7.0,38
2628,80133_26NL4MJ1,20001,20036,12.52,1.54,719
2629,30761396,20024,20016,29.8,7.98,31
2630,34839648,20018,20020,32.12,7.0,41
2631,58678_26NDCS7Q,20003,22202,12.14,3.85,436
2632,35884792,20003,20003,28.64,3.26,36
2633,80484_26NL4NDF,20036,20036,14.52,1.18,749
2634,91085_26NU0MT8,20002,20002,4.58,0.37,115
2635,77902_26NCQOV2,20006,20219,14.95,2.69,802
2636,70849_26NPW2QP,20005,20009,9.9,1.21,545
2637,80795_26NS5I6C,20005,20001,5.66,0.61,208
2638,79435_26NM6Y64,20008,20010,16.79,1.75,702
2639,29118142,20009,20002,67.14,27.7,42
2640,78373_26NDDKHC,20009,20011,12.68,2.25,902
2641,27932430,20004,20815,28.13,6.9,31
2642,34178522,20037,20015,27.17,6.0,33
2643,29691639,20024,22202,21.22,5.2,31
2644,74840_26NO2JTW,20037,20004,8.47,1.18,249
2645,28312532,20003,20009,20.97,4.3,33
2646,78723_26NLOM2Q,20011,20018,15.92,3.39,1123
2647,73963_26NNI5PP,20007,20016,13.82,2.63,713
2648,73950_26NO1PNL,20015,20016,8.09,1.54,445
2649,82067_26NF1F39,20006,20037,8.01,0.92,346
2650,32635225,20024,20036,25.58,3.3,29
2651,35838888,20005,20816,34.38,8.0,40
2652,34104365,20002,20010,22.67,4.0,29
2653,71596_26NF5XAY,20004,20006,11.71,1.37,618
2654,73436_26NUMGH5,20037,20007,9.09,0.98,474
2655,73400_26NCRWVA,20009,20008,8.47,1.0,287
2656,56254_26NLOK70,20008,20004,10.79,2.25,665
2657,65262_26NF5H5N,20036,20005,11.44,1.15,608
2658,27308683,20037,22304,42.65,13.0,34
2659,71700_26NG9PEY,20007,20007,5.04,0.3,84
2660,52128_26NP6E2U,20001,20024,8.36,1.32,600
2661,31053512,20817,20005,57.01,17.8,34
2662,56404_26NTXF0P,20009,20010,8.36,1.31,509
2663,76682_26NNGP3B,20004,20036,11.44,1.16,611
2664,63103_26NL4LU8,20004,22201,20.0,4.57,1040
2665,26842504,20003,20008,20.24,5.0,29
2666,33579298,20004,20004,21.05,4.0,33
2667,77855_26NDY3OP,20001,22202,21.54,5.83,830
2668,31346137,20037,22202,21.86,5.0,34
2669,76736_26NG8APC,20037,20016,11.6,3.02,655
2670,76919_26NU1IMY,20009,20001,13.25,2.46,590
2671,56197_26NF1BRR,20037,22041,25.91,8.83,1333
2672,28163872,20007,20002,22.94,4.0,31
2673,31635775,20017,20002,24.83,9.0,29
2674,31356768,20002,20006,27.75,3.5,44
2675,71989_26NRN4A9,20037,22202,18.08,5.85,870
2676,72998_26NCR8K7,20024,20001,10.36,1.06,448
2677,34390355,20002,20814,34.28,12.2,41
2678,74753_26NF4S8C,20515,20004,12.25,1.81,623
2679,30890598,20008,20166,66.41,28.1,42
2680,32114199,20002,20037,28.88,4.93,56
2681,70543_26NFQHLG,20024,20024,12.41,2.51,784
2682,35200517,20003,20745,32.15,7.3,31
2683,79087_26NF5NCP,20008,20007,15.41,2.33,810
2684,91345_26NMWJ01,20011,20009,13.22,3.2,851
2685,70812_26NFMRBS,20052,20007,13.39,1.24,654
2686,29257104,20004,20174,83.59,29.0,32
2687,91079_26ND9BAR,20011,20783,22.67,6.15,1557
2688,34935387,20036,20001,24.62,6.0,31
2689,29980650,20037,20166,70.2,25.7,33
2690,27172625,20002,20007,19.7,3.3,35
2691,76934_26NCRQQD,20002,20006,13.6,2.25,735
2692,78365_26NL40VQ,20001,20036,15.53,1.76,1062
2693,74697_26NL3M1Z,20037,20166,68.03,27.07,3160
2694,59390_26NMW59Z,20001,20009,9.44,1.42,618
2695,91327_26M6IRR1,20001,22202,58.31,6.51,5113
2696,33097728,20008,20008,85.67,28.0,51
2697,82082_26NSR7BV,20002,20001,8.9,1.25,497
2698,76602_26NCQ5TN,20010,20036,10.79,2.44,613
2699,62535_26NCOXRJ,20001,20024,11.25,2.17,536
2700,63305_26NNGMMS,20036,20007,9.44,1.3,562
2701,26749639,22202,20002,27.75,6.4,29
2702,34508278,20005,22202,24.93,6.0,29
2703,29762478,20009,20009,34.59,8.0,33
2704,29131567,20004,20166,64.75,27.0,43
2705,70071_26NF4R0O,20005,20037,10.03,1.12,491
2706,74624_26NMWD2H,20024,20005,15.2,2.54,889
2707,27089340,20037,20166,77.75,27.0,38
2708,31075346,20001,20016,26.48,7.0,32
2709,77234_26NPAFAU,20007,20007,5.66,0.42,230
2710,34779265,20002,20002,26.18,3.1,45
2711,58370_26NM7PKP,20001,20005,5.85,0.44,160
2712,63292_26NM72BV,20566,20037,8.82,0.86,458
2713,58233_26NS5LY2,20008,20037,6.66,0.49,225
2714,73518_26NMV2FV,20008,20008,6.47,0.86,301
2715,74813_26NEK6N7,20240,20037,11.67,1.1,537
2716,33812343,20002,20020,25.83,5.3,42
2717,33152011,20036,20166,88.46,27.4,31
2718,33097741,20036,22202,26.0,6.0,29
2719,1364116A,20003,20566,6.5,0.0,51
2720,30003447,20002,20814,35.59,10.0,34
2721,60664_26NRNPIZ,20002,20005,14.6,1.79,779
2722,74897_26NFRCOT,20024,20005,10.23,1.45,483
2723,28500520,20006,20910,32.04,7.0,31
2724,29974199,20001,20166,84.55,30.7,40
2725,74143_26NJBBJD,20005,20002,10.98,1.71,614
2726,35036248,20037,20020,28.86,7.87,48
2727,72892_26NFMRH6,20006,20005,9.09,0.77,479
2728,33769171,20002,22060,73.86,23.4,53
2729,32195793,20002,20003,21.7,5.21,29
2730,60255_26NUNDQ2,20024,20005,11.79,2.13,615
2731,29658084,20003,20036,18.81,3.02,30
2732,74085_26NONOXZ,20201,20001,8.22,0.8,315
2733,31500063,20004,20005,142.82,60.0,104
2734,30281549,20017,20020,28.34,8.2,40
2735,28951902,20009,20174,65.9,27.0,34
2736,77718_26NU0F7B,20001,20530,7.82,1.07,395
2737,26954481,20012,20036,19.97,5.47,29
2738,34476282,20003,20009,26.64,6.0,35
2739,29726222,20037,20010,20.51,5.2,30
2740,27243829,20006,20815,22.94,6.0,35
2741,34171517,20036,20036,65.17,27.0,50
2742,28529972,20005,20174,77.6,28.0,39
2743,53730_26NFPRBU,20037,20010,20.51,4.06,1617
2744,54272_26NTXWRC,20036,20001,11.71,1.76,617
2745,70866_26NCP3D6,20010,20011,6.66,0.82,200
2746,63276_26NSVBFK,20006,20566,8.01,1.09,338
2747,35351318,22202,20852,65.91,22.5,37
2748,79827_26NNHAXL,20010,20010,6.74,0.88,336
2749,79865_26NTF07Y,20009,20037,9.59,1.44,439
2750,30301044,20004,20004,23.19,2.0,44
2751,33782443,20436,22314,27.56,8.1,32
2752,34453297,20002,22033,58.85,25.0,35
2753,33219902,20037,20045,13.93,3.1,51
2754,73112_26NOOFGM,20007,20004,16.38,2.78,1191
2755,62331_26NF5VB2,20001,20002,20.38,1.9,1215
2756,29846576,20004,20009,17.98,3.0,29
2757,32495227,20010,20024,22.05,6.0,32
2758,77416_26NROE0O,20005,20005,9.2,1.1,269
2759,27764917,20001,20007,24.17,1.0,33
2760,30539437,20002,20007,22.67,3.9,31
2761,52866_26NM8QRQ,20009,22202,19.43,6.82,886
2762,70184_26NP7V8B,20009,20002,11.33,2.63,644
2763,31407696,20008,20001,21.59,2.4,32
2764,29152209,20001,20016,35.77,8.7,46
2765,64533_26NNGX0D,20005,20052,9.09,1.12,468
2766,34201888,20549,20015,22.86,6.1,37
2767,63305_26NFQ78G,20036,20001,14.06,1.85,717
2768,36030430,20020,20002,22.13,4.29,29
2769,35147035,20010,22202,32.45,7.2,31
2770,78365_26NP5ZSM,20010,20001,8.9,1.78,514
2771,36092588,20005,20005,46.89,17.0,41
2772,30587414,20002,20007,29.15,6.5,35
2773,74213_26NNZIGO,20024,22201,19.35,5.94,914
2774,32629804,20002,20037,22.67,4.7,38
2775,34306766,20001,20009,51.93,8.9,69
2776,82020_26NRNPYW,20002,22209,22.13,7.26,1088
2777,80771_26NF4MV0,20005,20003,13.33,2.32,721
2778,56876_26NPVQTF,20010,20011,10.17,1.87,569
2779,75059_26NS9U36,20547,20024,8.28,1.12,347
2780,76694_26NQDQ6Z,20009,20010,10.52,1.53,679
2781,30474996,20004,20016,26.72,5.7,36
2782,29889446,20036,22202,28.15,4.8,38
2783,63239_26NTFSLM,20024,20002,13.76,2.91,932
