,externalID,OriginZip,DestinationZip,TotalAMount,milage,Duration
123,35885057,20001,20001,30.12,9.72,39
124,58224_26NNYW3A,20009,20001,13.14,1.65,836
125,82703_26NNDPTB,20002,20005,12.52,1.61,826
126,80486_26NF1UZV,20004,20006,8.9,1.12,511
127,75206_26NQF60Y,20036,22202,16.92,5.33,680
128,34862321,20001,22042,49.13,21.0,29
129,31187248,20007,20016,43.6,8.0,74
130,75139_26NFQPMD,20037,20004,9.98,1.69,660
131,61241_26NCR281,20560,20002,12.71,1.61,556
132,72776_26NP9EHQ,20007,20005,11.44,1.45,563
133,59090_26NF5XM5,20005,20037,11.52,1.41,738
134,35352693,20003,20002,29.47,6.1,35
135,65286_26NP9LT7,20004,20036,11.98,1.48,623
136,33884509,20036,20036,19.43,1.8,37
137,32054376,20004,20037,16.38,1.9,29
138,74912_26NJALOS,20003,20003,6.66,0.64,217
139,27782214,20019,20011,33.58,9.3,42
140,77686_26NLLTIS,20009,20009,5.93,0.79,273
141,80378_26NLM5S3,20036,20530,15.3,1.56,1095
142,1363444A,20010,20011,8.63,1.9386781197793999,458
143,61241_26NSTUF8,20037,20037,9.47,0.68,332
144,76606_26NLPFB5,20004,20004,12.2,0.45,301
145,65493_26NF1DEM,20006,22202,17.0,5.46,941
146,32917104,20001,20001,72.57,29.0,48
147,30556655,20002,20008,25.58,4.0,37
148,35763992,20002,20016,29.33,5.0,29
149,56961_26NCR8UP,20219,20036,18.73,2.88,1207
150,28547777,20002,20817,45.35,18.0,32
151,74313_26NFQMOB,20009,20037,9.44,1.76,573
152,75399_26NF5F8C,20036,22202,21.89,5.28,1086
153,28252020,20008,20745,36.82,13.5,29
154,28247792,20001,20003,22.67,5.0,39
155,30996521,20003,22046,49.57,16.0,43
156,31438209,20006,20174,57.23,25.0,32
157,81122_26NF59CV,20001,20004,7.93,0.57,257
158,26877494,20003,20002,24.52,1.7,37
159,36336679,22202,22202,26.45,6.0,29
160,74624_26NPA6Y3,20024,20005,10.44,1.55,552
161,59731_26NNDECC,20005,20009,11.52,1.22,716
162,26443559,20024,20024,26.02,7.1,36
163,34988829,20002,20151,73.16,32.0,37
164,35382797,20024,20024,32.58,3.0,37
165,35520404,20036,20003,22.4,3.0,41
166,1360175A,20001,20005,18.08,3.0733019168042004,6839
167,73620_26NMSPZL,20002,20005,13.52,1.77,667
168,73618_26NUMIEI,20005,20019,22.4,5.37,1713
169,28350042,20036,20002,19.01,2.9,46
170,35476103,20002,20005,18.62,2.0,102
171,71638_26NSVARZ,20007,20008,16.14,3.18,768
172,34563502,20037,20037,48.14,8.0,63
173,77059_26NDE0U9,20002,20009,16.68,2.19,865
174,78400_26NLLM4P,20005,20003,14.84,3.41,1000
175,32844369,22202,20740,61.54,17.7,41
176,31997125,22202,20008,33.23,8.4,40
177,28675367,20002,20037,21.59,4.49,37
178,57902_26NL41GD,20006,20007,13.52,1.57,714
179,72831_26NPW254,20016,20016,10.09,1.75,430
180,29501177,20002,20016,25.13,6.6,35
181,60981_26NNGPLP,20002,20036,13.22,2.46,909
182,1358857A,20032,20002,22.24,5.7924222540332995,1236
183,35623960,20036,20002,31.27,2.44,36
184,27551398,20009,20009,16.46,2.0,29
185,74490_26NTYNTS,20005,20036,6.12,0.63,159
186,34304015,20002,20008,22.65,5.1,35
187,1359204A,20010,22202,26.75,8.5879712479076,1326
188,77082_26NNFZ98,20005,20003,16.26,3.01,878
189,35592377,20004,20004,82.64,27.0,57
190,58743_26NOO7T3,20001,20001,8.09,0.0,485
191,76979_26NF1TXE,20004,20010,14.3,3.01,1009
192,75112_26NL3YWR,20036,20004,23.94,3.02,1926
193,73879_26NRMOUC,20009,22307,32.12,11.47,1718
194,91085_26NGY8WJ,20011,20018,16.73,3.15,1232
195,31687551,20037,20906,44.0,17.0,43
196,29778429,20024,20008,24.54,4.8,29
197,60437_26NF4NDH,20001,20036,12.06,2.2,685
198,30834410,20002,20002,19.24,3.0,29
199,32530631,20010,20010,37.57,9.7,39
200,62584_26NO2Y69,20036,20005,8.55,0.9,417
201,36024519,20706,20032,39.41,10.46,48
202,74768_26NUNERJ,20005,20007,10.25,1.76,646
203,79571_26NTYOM2,20036,22209,14.68,3.45,653
204,76490_26NM7MC8,20009,22046,33.93,11.0,1883
205,1360436A,20009,20024,14.03,2.5730981070534,1019
206,28947253,20005,20007,18.5,0.0,54
207,28969721,20005,22311,34.14,9.0,47
208,32905238,20052,20017,30.26,5.4,38
209,30456664,20002,20002,25.56,5.0,44
210,33671602,20016,20016,14.86,3.0,33
211,73416_26NO1MV2,20037,20037,9.44,0.0,613
212,79628_26NTYATJ,20011,20010,7.82,1.59,438
213,32187188,20003,20010,34.31,8.0,34
214,32197703,20008,20002,18.87,4.25,29
215,30002089,20002,20008,27.8,7.0,45
216,74005_26NNGX8U,20004,20037,12.98,1.61,649
217,28044365,20008,22202,35.01,11.9,39
218,78993_26NHGVND,20009,20009,6.8,0.88837307,276
219,30566725,20006,20001,18.08,2.4,31
220,29270282,20024,20005,28.08,5.1,37
221,20170436378122,20007,20011,31.04,6.85,41
222,30352063,20001,20019,23.21,6.99,30
223,27378736,20008,20002,21.24,3.0,37
224,27776198,20037,22202,9.55,2.3,35
225,54244_26NL4FNZ,20007,20037,12.36,0.95,517
226,82080_26NMWGOA,20004,20004,10.98,1.72,574
227,34279073,20002,22201,28.94,0.0,30
228,31922768,20004,20174,70.2,26.0,40
229,72586_26NM6JGE,20004,20037,20.92,2.3,1228
230,77537_26NNI6B8,20008,20008,11.52,2.02,624
231,70299_26NLM0KB,20001,20001,6.2,0.87,232
232,74847_26NFMYVR,20036,20009,8.28,0.91,394
233,30999490,20007,20024,22.25,3.45,29
234,29796733,20006,20002,18.62,4.0,32
